ТТ;Тип;Код МО;Наименование МО;Адрес;н1;к1;н2;к2;н3;к3;Подпись;Общее МО
*001-0057*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. А.К. Ерамишанцева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, ул. Полярная, д. 28;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. А.К. Ерамишанцева ДЗМ»;ГКБ им. А.К. Ерамишанцева
*001-0058*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. А.К. Ерамишанцева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, ул. Полярная, д. 28;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. А.К. Ерамишанцева ДЗМ»;ГКБ им. А.К. Ерамишанцева
*001-0059*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. А.К. Ерамишанцева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, ул. Полярная, д. 28;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. А.К. Ерамишанцева ДЗМ»;ГКБ им. А.К. Ерамишанцева
*001-0127*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0128*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0129*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0130*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0131*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0132*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-1988*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
