ТТ;Тип;Код МО;Наименование МО;Адрес;н1;к1;н2;к2;н3;к3;Подпись;Общее МО
*004-1336*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. А.К. Ерамишанцева Департамента здравоохранения города Москвы"", Женская консультация № 4";г. Москва, ул. Яблочкова, д. 3А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ  им. А.К. Ерамишанцева ДЗМ»;ГКБ  им. А.К. Ерамишанцева
*004-1414*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностического отделения";г. Москва, Севастопольский проспект, 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-2093*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностического отделения";г. Москва, Севастопольский проспект, 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-2094*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностического отделения";г. Москва, Севастопольский проспект, 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0114*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0115*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0116*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0117*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0118*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0119*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0120*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0121*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0122*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 4, Обособленное структурное подразделение";г. Москва, ул. Кошкина, д. 21;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0123*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0124*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0125*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0126*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0127*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0128*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0129*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0130*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0131*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0132*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 6, Обособленное структурное подразделение";г. Москва, Чертаново Северное, корп. 805;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*004-0069*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 29 им. Н.Э. Баумана Департамента здравоохранения города Москвы"", Филиал № 1 ""Женская консультация"", Женская консультация № 3";г. Москва, ул. Маросейка, д. 13А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 29 им. Н.Э. Баумана ДЗМ»;ГКБ29 им. Н.Э. Баумана
*004-0070*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 29 им. Н.Э. Баумана Департамента здравоохранения города Москвы"", Филиал № 1 ""Женская консультация"", Женская консультация № 3";г. Москва, ул. Маросейка, д. 13А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 29 им. Н.Э. Баумана ДЗМ»;ГКБ29 им. Н.Э. Баумана
*004-0071*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 29 им. Н.Э. Баумана Департамента здравоохранения города Москвы"", Филиал № 1 ""Женская консультация"", Женская консультация № 3";г. Москва, ул. Маросейка, д. 13А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 29 им. Н.Э. Баумана ДЗМ»;ГКБ29 им. Н.Э. Баумана
*004-0072*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 29 им. Н.Э. Баумана Департамента здравоохранения города Москвы"", Филиал № 1 ""Женская консультация"", Женская консультация № 3";г. Москва, ул. Маросейка, д. 13А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 29 им. Н.Э. Баумана ДЗМ»;ГКБ29 им. Н.Э. Баумана
*004-0073*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 29 им. Н.Э. Баумана Департамента здравоохранения города Москвы"", Филиал № 1 ""Женская консультация"", Женская консультация № 3";г. Москва, ул. Маросейка, д. 13А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 29 им. Н.Э. Баумана ДЗМ»;ГКБ29 им. Н.Э. Баумана
*004-0074*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 29 им. Н.Э. Баумана Департамента здравоохранения города Москвы"", Филиал № 1 ""Женская консультация"", Женская консультация № 3";г. Москва, ул. Маросейка, д. 13А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 29 им. Н.Э. Баумана ДЗМ»;ГКБ29 им. Н.Э. Баумана
*004-0075*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 29 им. Н.Э. Баумана Департамента здравоохранения города Москвы"", Филиал № 1 ""Женская консультация"", Женская консультация № 3";г. Москва, ул. Маросейка, д. 13А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 29 им. Н.Э. Баумана ДЗМ»;ГКБ29 им. Н.Э. Баумана
*004-0076*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 29 им. Н.Э. Баумана Департамента здравоохранения города Москвы"", Филиал № 1 ""Женская консультация"", Женская консультация № 3";г. Москва, ул. Маросейка, д. 13А, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 29 им. Н.Э. Баумана ДЗМ»;ГКБ29 им. Н.Э. Баумана
*004-0103*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Новопеределкино""";г. Москва, п. Внуковское, ул. Лётчика Грицевца, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
