ТТ;Тип;Код МО;Наименование МО;Адрес;н1;к1;н2;к2;н3;к3;Подпись;Общее МО
*005-0132*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0133*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0134*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0135*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0136*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0137*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0138*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0139*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0140*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0141*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 11";г. Москва, 2-й Новоподмосковный пер. , д. 3А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0171*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 8";г. Москва, ул. Куусинена, д. 6, корп. 6;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0172*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 8";г. Москва, ул. Куусинена, д. 6, корп. 6;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0173*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 8";г. Москва, ул. Куусинена, д. 6, корп. 6;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0174*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 8";г. Москва, ул. Куусинена, д. 6, корп. 6;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0175*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 8";г. Москва, ул. Куусинена, д. 6, корп. 6;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0176*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 8";г. Москва, ул. Куусинена, д. 6, корп. 6;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0177*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 8";г. Москва, ул. Куусинена, д. 6, корп. 6;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0142*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0143*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0144*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0145*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0146*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0147*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0148*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0149*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0150*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0151*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0152*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0153*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0154*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0155*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0156*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0157*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0158*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0159*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0160*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0161*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 6";г. Москва, ул. Новопесчаная, д. 23, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
